Language,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
English,1515000000,1520900760,1527140783,1533819760,1540946394,1548529530,1556578158,1565101417,1574108594,1583609131,1593612623,1604128824,1615167648,1626739169,1638853631,1651521443,1664753184,1678559610,1692951651,1707940416,1723537199,1739753476,1756600914,1774091371,1792236899,1811049747,1830542369,1850727419,1871617762,1893226474,1915566845,1938652384,1962496823,1987114121,2012518463,2038724272,2065746206,2093599167,2122298300,2151859003,2182296925,2213627977,2245868332,2279034429,2313142981,2348210977,2384255687,2421294670,2459345774,2498427144,2538557228
Chinese,1140000000,1143453869,1146983293,1150598998,1154302544,1158095518,1161979528,1165956203,1170027202,1174194203,1178458911,1182823057,1187288394,1191856705,1196529794,1201309496,1206197670,1211196203,1216307009,1221532029,1226873233,1232332620,1237912217,1243614081,1249440297,1255392981,1261474281,1267686372,1274031465,1280511798,1287129644,1293887307,1300787125,1307831467,1315022740,1322363380,1329855862,1337502692,1345306416,1353269612,1361394897,1369684923,1378142381,1386769999,1395570543,1404546820,1413701673,1423037988,1432558689,1442266742,1452165155
Hindi,609000000,613127938,617350225.5,621697780.3,626172717.1,630777181,635513347.1,640383421.6,645389641.7,650534276.2,655819626.1,661248024.5,666821837.6,672543464.7,678415338.9,684439927.2,690619731.5,696957288.5,703455170.4,710115985.2,716942377.6,723937028.9,731102657.8,738442020.7,745957912.5,753653166.7,761530656.2,769593293.7,777844032,786285865.1,794921827.8,803754997.3,812788492.9,822025476.9,831469155.1,841122777.4,850989638.2,861073077.3,871376479.9,881903278,892656950.1,903641022.5,914859069.5,926314714.3,938011629.2,949953536.8,962144210.1,974587473.6,987287203.3,1000247328,1013471831
Spanish,560000000,563268640.3,566560793.1,569908807,573313565.2,576775965.2,580296918.6,583877351.6,587518205.1,591220435.4,594985013.7,598812927,602705178,606662785.8,610686785.6,614778229.4,618938186,623167741.6,627468000,631840082.7,636285129.5,640804298.6,645398767,650069730.8,654818405.8,659646027.2,664553850.8,669543152.6,674615229.6,679771400,685013003.8,690341402.7,695757981.1,701264146,706861327.8,712550980.3,718334581.5,724213633.9,730189664.9,736264227.3,742438899.6,748715287,755095020.9,761579760.6,768171192.8,774871032.6,781681023.9,788602940,795638584.1,802789789.7,810058421.5
Arabic,332000000,337883901.9,343876506.4,350076199.2,356486910.8,363112638.5,369957446.6,377025468,384320905.7,391848033.2,399611196.5,407614814.7,415863381.6,424361466.9,433113717.6,442124859,451399696.6,460943116.8,470760088.7,480855665.7,491234986.5,501903276.8,512865850.9,524128113,535695558.9,547573777.8,559768453.4,572285366.1,585130394.2,598309516,611828811.4,625694463.7,639912761.2,654490099.5,669432983,684748026.8,700441959.1,716521622.5,732993976.9,749866100.7,767145193.4,784838577.8,802953701.8,821498141.2,840479601.5,859905920.2,879785069.6,900125159,920934436.9,942221294,963994265.3
French,312000000,312433291,312936128.2,313516041,314174578,314913312.5,315733843,316637793.6,317626814.4,318702581.8,319866799.1,321121196.7,322467532.9,323907593.7,325443194.1,327076177.7,328808417.6,330641817.1,332578309.5,334619859.1,336768461.7,339026144.9,341394968.4,343877025.2,346474441.5,349189377.4,352024027.7,354980622.1,358061426,361268741,364604905.5,368072295.2,371673324.2,375410444.7,379286148.6,383302967.5,387463473.6,391770280.4,396226043.5,400833460.8,405595273.8,410514268.1,415593273.8,420835167.1,426242870,431819351.9,437567630.2,443490770.8,449591889.5,455874152.1,462340776.1
Bengali,278000000,280796774,283605971,286451369.6,289333422.2,292252586.8,295209327.2,298204112.6,301237417.8,304309723.8,307421517,310573290,313765541.2,316998775.2,320273502.6,323590240.4,326949511.7,330351846,333797779.1,337287853.6,340822618.5,344402629.3,348028448.5,351700645.3,355419795.9,359186483.2,363001297.5,366864836,370777703.3,374740511.3,378753879.1,382818433.5,386934808.8,391103647,395325597.9,399601319.1,403931476,408316742.3,412757799.7,417255338.2,421810056,426422659.8,431093864.9,435824395.2,440614983.2,445466370.3,450379306.9,455354552.5,460392875.5,465495053.8,470661874.6
Portuguese,264000000,265843081,267696405.5,269586304.6,271513622.1,273479223.8,275483999.2,277528861.2,279614747.5,281742621.1,283913470.8,286128312.5,288388189.6,290694174,293047366.7,295448899.2,297899933.8,300401665,302955320.4,305562161.2,308223484,310940621.4,313714943.1,316547857.1,319440811,322395293,325412833.3,328495005.1,331643426.5,334859761.2,338145720.2,341503063.5,344933601.1,348439195,352021760.5,355683268.1,359425744.9,363251276.6,367162009.1,371160150.9,375247974.1,379427817.3,383702087.2,388073260.8,392543887.6,397116592,401794075.3,406579118.5,411474584.5,416483420.9,421608662.4
Russian,255000000,254311913.4,253656282.5,253034763.9,252447929.6,251896360,251380643.4,250901376.7,250459164.8,250054621.3,249688368.2,249361036.2,249073264.7,248825701.7,248619004.3,248453838.6,248330879.6,248250811.5,248214327.8,248222131.4,248274934.4,248373458.5,248518435.2,248710605.6,248950720.4,249239540.4,249577836.4,249966389.1,250405989.7,250897439.2,251441549.4,252039142.2,252691050.4,253398117.1,254161196.5,254981153.3,255858863.3,256795213.3,257791101.3,258847436.5,259965139.2,261145141.3,262388386.4,263695829.2,265068436.6,266507187,268013070.7,269587090.1,271230259.7,272943606,274728167.8
Urdu,238000000,238972883.9,239996671.7,241083694.9,242235150.5,243452253.9,244736239,246088358.5,247509883.9,249002106.3,250566336,252203903.2,253916158.5,255704472.4,257570236.5,259514863.1,261539785.7,263646459.6,265836361.7,268110991.1,270471869.5,272920541.3,275458573.8,278087558,280809108.6,283624864.2,286536487.9,289545667.6,292654116.2,295863572.2,299175799.7,302592589.2,306115757.4,309747148.3,313488632.8,317342109.7,321309505.7,325392776.1,329593904.7,333914904.9,338357819.5,342924721.4,347617713.9,352438931.4,357390539.5,362474735.3,367693748.6,373049841.3,378545308.9,384182480.2,389963718
